Alter Self, 1, self, self, 1 hour + 1 turn/level, [white, transformation]));
Animate Dead, 4, one or more dead creatures, touch, 1 day or instant, [black, necromancy])); 
Angelic Choir, 1, location, short, 1 hour, [white, illusion])); 
Anti-Magic Shell, 6, area 10' sphere, 0, 2 hours, [white, protection]));
Arrows of the Sun, 6, 20 arrows/level, long, 1 round, [grey, fire, battle]));
Auditory Illusion, 1, single*, medium, 1 turn, [grey, illusion]));
Augury, 3, self, self, instant, [white, divination])); 
Aura of the Phoenix, 5, self, 5' radius, 1 rnd/lvl, [grey, fire])); 
Aura of the Sun, 5, self, self, 1 round/level, [white, fire, light])); 
Atonement, 6, single, touch, instant, [white, healing, complex]));
Avian Messenger, 3, special, special, 1 day, [white, summoning, beast]));
Bane, 2, area 50' sphere, 0, 1 hour, [black, death]));
Bane-Rune, 1, single weapon, touch, 1 turn, [white, transformation]));
Banner of Invincibility, 6, single banner, touch, 1 turn, [white, protection]));
Bath of the Goddess, 5, single creature, touch, indefinite, [white, transformation]));
Battering Ram, 3, single object or structure, medium, instant, [grey, earth, blast]));
Bless, 2, area 50' sphere, 0, 1 hour, [white, protection])); 
Blind, 2, single, short, instant, [death, black]));
Blinding Flash, 1, 10' area, medium, 1 round/level, [grey, fire]));
Bloody Flux, 2, single, short, TK, [death, black]));
Body Swap, 6, two living creatures, touch, indefinite, [black, necromancy, transmogrification]));
Brand, 1, single creature or object, touch, instant, [death, black]));
Boil Blood, 5, single creature, long, instant, [grey, fire]));
Burning Sparks, 2, single fire, short, instant, [grey, fire, blast]));
Call of the Ancient Tusk, 5, single creature, special, 1 day, [white, summoning, beast])); 
Call of the Galloping Herd, 4, group of creature, special, 1 day, [white, summoning, beast])); 
Call of the Great Eagle, 6, single creature, special, 1 day, [white, summoning, beast])); 
Call of the Great Cats, 5, group of creature, special, 1 day, [white, summoning, beast])) 
Call Insect Swarm, 1, single swarm, remote, day, [animal, call, grey]));
Call of the Leviathan, 6, single creature, special, 1 day, [white, summoning, beast])); 
Call of the Loyal Pack, 2, group of creature, special, 1 day, [white, summoning, beast])); 
Call of the Wild Bear, 3, single creature, special, 1 day, [white, summoning, beast])); 
Call of the Wolf, 1, single creature, special, 1 day, [white, summoning, beast])); 
Cancellation, 7, single item, touch, instant, [white, ritual])); 
Capsizing Wave, 6, single vessel, long, instant, [grey, water, blast]));
Cataclysm, 9, area 12 mile radius, unlimited, 1 day, [grey, elemental, ritual]));
Cause Critical Wounds, 5, single creature, touch, instant, [black, death])); 
Cause Disease, 3, single creature, short, instant, [death, black]));
Cause Fear, 1, single creature, long, 2 turns, [enchantment, black]));
Cause Light Wounds, 1, single creature, touch, instant, [black, death])); 
Cause Major Wounds, 3, single creature, touch, instant, [black, death])); 
Cause Moderate Wounds, 2, single creature, touch, instant, [black, death])); 
Cause Serious Wounds, 4, single creature, touch, instant, [black, death])); 
Chameleon, 1, single person, touch, 1 turn/level, [white, transformation]));
Charm Beast, 2, single beast, short, lasting, [enchantment, grey, beast]));
Charm Person, 1, single person, short, indefinite, [enchantment, black]));
Charm Monster, 4, single, short, indefinite, [enchantment, black]));
Chimerical Force, 3, created illusion, long, concentration + 2 rounds, [grey, illusion]));
Choking Grasp, 1, single, short, lasting up to concentration, [death, black]));
Circle of Agony, 5, 1 creature/lvl, lasting, [black, death]));
Circling Winds, 2, self, self (10'), concentration, [grey, air]));
Clairaudience, 3, self, medium, 2 hours, [white, divination])); 
Clairvoyance, 3, self, medium, 2 hours, [white, divination])); 
Cloud of Poison, 6, area, special, 1 hour, [grey, air]));
Command Beasts, 3, group of beasts, medium, medium, [enchantment, grey, beast]));
Command Lightning, 3, burst, extreme, instant, [air, grey]));
Command Person, 1, single, short, 1 round, [enchantment, black]));
Command Plants, 4, area 10' square, medium, concentration, [grey, enchantment, wood]));
Commune, 7, self, self, 3 turns, [white, divination, ritual]));
Cone of Frost, 5, area, 0, instant, [grey, water]));
Cone of Paralysis, 5, cone, 0, instant, [black, death]));
Conjure Demonic Spawn, 1, single, short, TK, [summoning, black]));
Conjure Demonic Imp, 2, single, short, TK, [summoning, black]));
Conjure Demonic Hellion, 3, single, short, TK, [summoning, black]));
Conjure Demonic Servant, 4, single, short, TK, [summoning, black]));
Conjure Demonic Concubus, 5, single, short, TK, [summoning, black]));
Conjure Demonic Fiend, 6, single, short, TK, [summoning, black]));
Conjure Fog, 2, area, medium, short, [air, water, grey]));
